AE	AED	2025-02-07 10:17:21.510
AR	ARS	2025-02-07 10:17:21.510
AT	ATS	2025-02-07 10:17:21.510
AT	EUR	2019-04-30 00:00:00.000
AU	AUD	2025-02-07 10:17:21.510
BB	BBD	2025-02-07 10:17:21.510
BD	BDT	2025-02-07 10:17:21.510
BE	BEF	2025-02-07 10:17:21.510
BE	EUR	2019-04-30 00:00:00.000
BG	BGN	2025-02-07 10:17:21.510
BH	BHD	2025-02-07 10:17:21.510
BN	BND	2025-02-07 10:17:21.510
BO	BOB	2025-02-07 10:17:21.510
BR	BRL	2025-02-07 10:17:21.510
BS	BSD	2025-02-07 10:17:21.510
BT	BTN	2025-02-07 10:17:21.510
CA	CAD	2025-02-07 10:17:21.510
CH	CHF	2025-02-07 10:17:21.510
CL	CLP	2025-02-07 10:17:21.510
CN	CNY	2025-02-07 10:17:21.510
CO	COP	2025-02-07 10:17:21.510
CR	CRC	2025-02-07 10:17:21.510
CY	CYP	2025-02-07 10:17:21.510
CZ	CZK	2025-02-07 10:17:21.510
DE	DEM	2025-02-07 10:17:21.510
DE	EUR	2025-02-07 10:17:21.510
DK	DKK	2025-02-07 10:17:21.510
DO	DOP	2025-02-07 10:17:21.510
DZ	DZD	2025-02-07 10:17:21.510
EC	USD	2025-02-07 10:17:21.510
EE	EEK	2025-02-07 10:17:21.510
EG	EGP	2025-02-07 10:17:21.510
ES	ESP	2025-02-07 10:17:21.510
ES	EUR	2019-04-30 00:00:00.000
FI	EUR	2019-04-30 00:00:00.000
FI	FIM	2025-02-07 10:17:21.510
FJ	FJD	2025-02-07 10:17:21.510
FR	EUR	2025-02-07 10:17:21.510
FR	FRF	2025-02-07 10:17:21.510
GB	GBP	2025-02-07 10:17:21.510
GH	GHC	2025-02-07 10:17:21.510
GR	EUR	2019-04-30 00:00:00.000
GR	GRD	2025-02-07 10:17:21.510
GT	GTQ	2025-02-07 10:17:21.510
HK	HKD	2025-02-07 10:17:21.510
HR	HRK	2025-02-07 10:17:21.510
HU	HUF	2025-02-07 10:17:21.510
ID	IDR	2025-02-07 10:17:21.510
IE	EUR	2019-04-30 00:00:00.000
IE	IEP	2025-02-07 10:17:21.510
IL	ILS	2025-02-07 10:17:21.510
IN	INR	2025-02-07 10:17:21.510
IS	ISK	2025-02-07 10:17:21.510
IT	EUR	2019-04-30 00:00:00.000
IT	ITL	2025-02-07 10:17:21.510
JM	JMD	2025-02-07 10:17:21.510
JO	JOD	2025-02-07 10:17:21.510
JP	JPY	2025-02-07 10:17:21.510
KE	KES	2025-02-07 10:17:21.510
KR	KRW	2025-02-07 10:17:21.510
KW	KWD	2025-02-07 10:17:21.510
LB	LBP	2025-02-07 10:17:21.510
LK	LKR	2025-02-07 10:17:21.510
LT	LTL	2025-02-07 10:17:21.510
LU	EUR	2019-04-30 00:00:00.000
LV	LVL	2025-02-07 10:17:21.510
MA	MAD	2025-02-07 10:17:21.510
MT	MTL	2025-02-07 10:17:21.510
MU	MUR	2025-02-07 10:17:21.510
MV	MVR	2025-02-07 10:17:21.510
MX	MXN	2025-02-07 10:17:21.510
MY	MYR	2025-02-07 10:17:21.510
NA	NAD	2025-02-07 10:17:21.510
NG	NGN	2025-02-07 10:17:21.510
NL	EUR	2019-04-30 00:00:00.000
NL	NLG	2025-02-07 10:17:21.510
NO	NOK	2025-02-07 10:17:21.510
NP	NPR	2025-02-07 10:17:21.510
NZ	NZD	2025-02-07 10:17:21.510
OM	OMR	2025-02-07 10:17:21.510
PA	PAB	2025-02-07 10:17:21.510
PE	PEN	2025-02-07 10:17:21.510
PH	PHP	2025-02-07 10:17:21.510
PK	PKR	2025-02-07 10:17:21.510
PL	PLN	2025-02-07 10:17:21.510
PL	PLZ	2025-02-07 10:17:21.510
PT	EUR	2019-04-30 00:00:00.000
PT	PTE	2025-02-07 10:17:21.510
PY	PYG	2025-02-07 10:17:21.510
RO	ROL	2025-02-07 10:17:21.510
RU	RUB	2025-02-07 10:17:21.510
RU	RUR	2025-02-07 10:17:21.510
SA	SAR	2025-02-07 10:17:21.510
SE	SEK	2025-02-07 10:17:21.510
SG	SGD	2025-02-07 10:17:21.510
SI	SIT	2025-02-07 10:17:21.510
SK	SKK	2025-02-07 10:17:21.510
SV	SVC	2025-02-07 10:17:21.510
TH	THB	2025-02-07 10:17:21.510
TN	TND	2025-02-07 10:17:21.510
TR	TRL	2025-02-07 10:17:21.510
TT	TTD	2025-02-07 10:17:21.510
TW	TWD	2025-02-07 10:17:21.510
US	USD	2025-02-07 10:17:21.510
UY	UYU	2025-02-07 10:17:21.510
VE	VEB	2025-02-07 10:17:21.510
VN	VND	2025-02-07 10:17:21.510
ZA	ZAR	2025-02-07 10:17:21.510
ZW	ZWD	2025-02-07 10:17:21.510
